Case;VehCat;Year;TrafficScenario;Component;RoadCat;TrafficSit;Gradient;V_weighted;EFA_weighted;AmbientCondPattern;EFA_WTT_weighted;EFA_WTW_weighted
avg_demo_all_gradients[4.1];pass. car;2020;REF D HB41;HC;Rural;RUR/Trunk/80/Freeflow;0%;79.04334259;0.007471068;ØGermany;;
avg_demo_all_gradients[4.1];pass. car;2020;REF D HB41;HC;Rural;RUR/Trunk/80/Freeflow;+/-2%;79.04331207;0.008247676;ØGermany;;
avg_demo_all_gradients[4.1];pass. car;2020;REF D HB41;HC;Rural;RUR/Trunk/80/Freeflow;+/-4%;79.04321289;0.010871409;ØGermany;;
avg_demo_all_gradients[4.1];pass. car;2020;REF D HB41;HC;Rural;RUR/Trunk/80/Freeflow;+/-6%;79.04324341;0.014738609;ØGermany;;
avg_demo_all_gradients[4.1];pass. car;2020;REF D HB41;HC;Rural;RUR/Trunk/80/Freeflow;-6%;79.04334259;0.003527788;ØGermany;;
avg_demo_all_gradients[4.1];pass. car;2020;REF D HB41;HC;Rural;RUR/Trunk/80/Freeflow;-4%;79.04334259;0.003903835;ØGermany;;
avg_demo_all_gradients[4.1];pass. car;2020;REF D HB41;HC;Rural;RUR/Trunk/80/Freeflow;-2%;79.04334259;0.005025127;ØGermany;;
avg_demo_all_gradients[4.1];pass. car;2020;REF D HB41;HC;Rural;RUR/Trunk/80/Freeflow;+2%;79.04328156;0.011470225;ØGermany;;
avg_demo_all_gradients[4.1];pass. car;2020;REF D HB41;HC;Rural;RUR/Trunk/80/Freeflow;+4%;79.04309082;0.017838987;ØGermany;;
avg_demo_all_gradients[4.1];pass. car;2020;REF D HB41;HC;Rural;RUR/Trunk/80/Freeflow;+6%;79.04311371;0.025949432;ØGermany;;
avg_demo_all_gradients[4.1];pass. car;2020;REF D HB41;HC;Rural;RUR/Trunk/80/St+Go;0%;15.47643852;0.022391768;ØGermany;;
avg_demo_all_gradients[4.1];pass. car;2020;REF D HB41;HC;Rural;RUR/Trunk/80/St+Go;+/-2%;15.4724884;0.022778807;ØGermany;;
avg_demo_all_gradients[4.1];pass. car;2020;REF D HB41;HC;Rural;RUR/Trunk/80/St+Go;+/-4%;15.46883678;0.024144957;ØGermany;;
avg_demo_all_gradients[4.1];pass. car;2020;REF D HB41;HC;Rural;RUR/Trunk/80/St+Go;+/-6%;15.45297337;0.026229559;ØGermany;;
avg_demo_all_gradients[4.1];pass. car;2020;REF D HB41;HC;Rural;RUR/Trunk/80/St+Go;-6%;15.48051739;0.014797023;ØGermany;;
avg_demo_all_gradients[4.1];pass. car;2020;REF D HB41;HC;Rural;RUR/Trunk/80/St+Go;-4%;15.48048592;0.016614862;ØGermany;;
avg_demo_all_gradients[4.1];pass. car;2020;REF D HB41;HC;Rural;RUR/Trunk/80/St+Go;-2%;15.47820568;0.019177606;ØGermany;;
avg_demo_all_gradients[4.1];pass. car;2020;REF D HB41;HC;Rural;RUR/Trunk/80/St+Go;+2%;15.46677399;0.026379995;ØGermany;;
avg_demo_all_gradients[4.1];pass. car;2020;REF D HB41;HC;Rural;RUR/Trunk/80/St+Go;+4%;15.45718384;0.031675041;ØGermany;;
avg_demo_all_gradients[4.1];pass. car;2020;REF D HB41;HC;Rural;RUR/Trunk/80/St+Go;+6%;15.42543221;0.037662089;ØGermany;;
avg_demo_all_gradients[4.1];pass. car;2020;REF D HB41;HC;Rural;RUR/Trunk/80/St+Go2;0%;6.128380299;0.039759863;ØGermany;;
avg_demo_all_gradients[4.1];pass. car;2020;REF D HB41;HC;Rural;RUR/Trunk/80/St+Go2;+/-2%;6.1273489;0.03990633;ØGermany;;
avg_demo_all_gradients[4.1];pass. car;2020;REF D HB41;HC;Rural;RUR/Trunk/80/St+Go2;+/-4%;6.124416351;0.040441472;ØGermany;;
avg_demo_all_gradients[4.1];pass. car;2020;REF D HB41;HC;Rural;RUR/Trunk/80/St+Go2;+/-6%;6.124890327;0.041414864;ØGermany;;
avg_demo_all_gradients[4.1];pass. car;2020;REF D HB41;HC;Rural;RUR/Trunk/80/St+Go2;-6%;6.125377178;0.032898355;ØGermany;;
avg_demo_all_gradients[4.1];pass. car;2020;REF D HB41;HC;Rural;RUR/Trunk/80/St+Go2;-4%;6.128029346;0.034645393;ØGermany;;
avg_demo_all_gradients[4.1];pass. car;2020;REF D HB41;HC;Rural;RUR/Trunk/80/St+Go2;-2%;6.127646923;0.036718946;ØGermany;;
avg_demo_all_gradients[4.1];pass. car;2020;REF D HB41;HC;Rural;RUR/Trunk/80/St+Go2;+2%;6.127052784;0.043093722;ØGermany;;
avg_demo_all_gradients[4.1];pass. car;2020;REF D HB41;HC;Rural;RUR/Trunk/80/St+Go2;+4%;6.120803833;0.046237566;ØGermany;;
avg_demo_all_gradients[4.1];pass. car;2020;REF D HB41;HC;Rural;RUR/Trunk/80/St+Go2;+6%;6.124405384;0.049931362;ØGermany;;
avg_demo_all_gradients[4.1];pass. car;2020;REF D HB41;HC;Urban;URB/Local/50/Freeflow;0%;41.66275787;0.010469965;ØGermany;;
avg_demo_all_gradients[4.1];pass. car;2020;REF D HB41;HC;Urban;URB/Local/50/Freeflow;+/-2%;41.66275787;0.010849499;ØGermany;;
avg_demo_all_gradients[4.1];pass. car;2020;REF D HB41;HC;Urban;URB/Local/50/Freeflow;+/-4%;41.66275787;0.012192441;ØGermany;;
avg_demo_all_gradients[4.1];pass. car;2020;REF D HB41;HC;Urban;URB/Local/50/Freeflow;+/-6%;41.66162491;0.014168913;ØGermany;;
avg_demo_all_gradients[4.1];pass. car;2020;REF D HB41;HC;Urban;URB/Local/50/Freeflow;-6%;41.66275787;0.006284647;ØGermany;;
avg_demo_all_gradients[4.1];pass. car;2020;REF D HB41;HC;Urban;URB/Local/50/Freeflow;-4%;41.66275787;0.007048326;ØGermany;;
avg_demo_all_gradients[4.1];pass. car;2020;REF D HB41;HC;Urban;URB/Local/50/Freeflow;-2%;41.66275787;0.008234367;ØGermany;;
avg_demo_all_gradients[4.1];pass. car;2020;REF D HB41;HC;Urban;URB/Local/50/Freeflow;+2%;41.66275787;0.013464625;ØGermany;;
avg_demo_all_gradients[4.1];pass. car;2020;REF D HB41;HC;Urban;URB/Local/50/Freeflow;+4%;41.66275787;0.017336557;ØGermany;;
avg_demo_all_gradients[4.1];pass. car;2020;REF D HB41;HC;Urban;URB/Local/50/Freeflow;+6%;41.66048813;0.022053177;ØGermany;;
avg_demo_all_gradients[4.1];pass. car;2020;REF D HB41;HC;Urban;URB/Local/50/St+Go;0%;12.48863316;0.022639077;ØGermany;;
avg_demo_all_gradients[4.1];pass. car;2020;REF D HB41;HC;Urban;URB/Local/50/St+Go;+/-2%;12.48870945;0.02284834;ØGermany;;
avg_demo_all_gradients[4.1];pass. car;2020;REF D HB41;HC;Urban;URB/Local/50/St+Go;+/-4%;12.48709679;0.023695972;ØGermany;;
avg_demo_all_gradients[4.1];pass. car;2020;REF D HB41;HC;Urban;URB/Local/50/St+Go;+/-6%;12.48793888;0.0250331;ØGermany;;
avg_demo_all_gradients[4.1];pass. car;2020;REF D HB41;HC;Urban;URB/Local/50/St+Go;-6%;12.48871803;0.017243378;ØGermany;;
avg_demo_all_gradients[4.1];pass. car;2020;REF D HB41;HC;Urban;URB/Local/50/St+Go;-4%;12.48871803;0.018577164;ØGermany;;
avg_demo_all_gradients[4.1];pass. car;2020;REF D HB41;HC;Urban;URB/Local/50/St+Go;-2%;12.48871803;0.020345228;ØGermany;;
avg_demo_all_gradients[4.1];pass. car;2020;REF D HB41;HC;Urban;URB/Local/50/St+Go;+2%;12.48870087;0.025351457;ØGermany;;
avg_demo_all_gradients[4.1];pass. car;2020;REF D HB41;HC;Urban;URB/Local/50/St+Go;+4%;12.48547554;0.028814768;ØGermany;;
avg_demo_all_gradients[4.1];pass. car;2020;REF D HB41;HC;Urban;URB/Local/50/St+Go;+6%;12.48715973;0.032822832;ØGermany;;
avg_demo_all_gradients[4.1];pass. car;2020;REF D HB41;HC;Urban;URB/Local/50/St+Go2;0%;5.839771271;0.035918243;ØGermany;;
avg_demo_all_gradients[4.1];pass. car;2020;REF D HB41;HC;Urban;URB/Local/50/St+Go2;+/-2%;5.838320255;0.036106501;ØGermany;;
avg_demo_all_gradients[4.1];pass. car;2020;REF D HB41;HC;Urban;URB/Local/50/St+Go2;+/-4%;5.839328766;0.036871441;ØGermany;;
avg_demo_all_gradients[4.1];pass. car;2020;REF D HB41;HC;Urban;URB/Local/50/St+Go2;+/-6%;5.839369297;0.037960984;ØGermany;;
avg_demo_all_gradients[4.1];pass. car;2020;REF D HB41;HC;Urban;URB/Local/50/St+Go2;-6%;5.839882851;0.031624548;ØGermany;;
avg_demo_all_gradients[4.1];pass. car;2020;REF D HB41;HC;Urban;URB/Local/50/St+Go2;-4%;5.83987093;0.032862853;ØGermany;;
avg_demo_all_gradients[4.1];pass. car;2020;REF D HB41;HC;Urban;URB/Local/50/St+Go2;-2%;5.839808464;0.034178697;ØGermany;;
avg_demo_all_gradients[4.1];pass. car;2020;REF D HB41;HC;Urban;URB/Local/50/St+Go2;+2%;5.836833;0.038034331;ØGermany;;
avg_demo_all_gradients[4.1];pass. car;2020;REF D HB41;HC;Urban;URB/Local/50/St+Go2;+4%;5.838788986;0.040880002;ØGermany;;
avg_demo_all_gradients[4.1];pass. car;2020;REF D HB41;HC;Urban;URB/Local/50/St+Go2;+6%;5.838853836;0.044297412;ØGermany;;
avg_demo_all_gradients[4.1];pass. car;2020;REF D HB41;CO;Rural;RUR/Trunk/80/Freeflow;0%;79.04334259;0.155700698;ØGermany;;
avg_demo_all_gradients[4.1];pass. car;2020;REF D HB41;CO;Rural;RUR/Trunk/80/Freeflow;+/-2%;79.04331207;0.187708259;ØGermany;;
avg_demo_all_gradients[4.1];pass. car;2020;REF D HB41;CO;Rural;RUR/Trunk/80/Freeflow;+/-4%;79.04321289;0.276817709;ØGermany;;
avg_demo_all_gradients[4.1];pass. car;2020;REF D HB41;CO;Rural;RUR/Trunk/80/Freeflow;+/-6%;79.04324341;0.438112259;ØGermany;;
avg_demo_all_gradients[4.1];pass. car;2020;REF D HB41;CO;Rural;RUR/Trunk/80/Freeflow;-6%;79.04334259;0.065814242;ØGermany;;
avg_demo_all_gradients[4.1];pass. car;2020;REF D HB41;CO;Rural;RUR/Trunk/80/Freeflow;-4%;79.04334259;0.073849775;ØGermany;;
avg_demo_all_gradients[4.1];pass. car;2020;REF D HB41;CO;Rural;RUR/Trunk/80/Freeflow;-2%;79.04334259;0.101325832;ØGermany;;
avg_demo_all_gradients[4.1];pass. car;2020;REF D HB41;CO;Rural;RUR/Trunk/80/Freeflow;+2%;79.04328156;0.274090618;ØGermany;;
avg_demo_all_gradients[4.1];pass. car;2020;REF D HB41;CO;Rural;RUR/Trunk/80/Freeflow;+4%;79.04309082;0.479785502;ØGermany;;
avg_demo_all_gradients[4.1];pass. car;2020;REF D HB41;CO;Rural;RUR/Trunk/80/Freeflow;+6%;79.04311371;0.810410142;ØGermany;;
avg_demo_all_gradients[4.1];pass. car;2020;REF D HB41;CO;Rural;RUR/Trunk/80/St+Go;0%;15.47643852;0.60593462;ØGermany;;
avg_demo_all_gradients[4.1];pass. car;2020;REF D HB41;CO;Rural;RUR/Trunk/80/St+Go;+/-2%;15.4724884;0.644346356;ØGermany;;
avg_demo_all_gradients[4.1];pass. car;2020;REF D HB41;CO;Rural;RUR/Trunk/80/St+Go;+/-4%;15.46883678;0.884164453;ØGermany;;
avg_demo_all_gradients[4.1];pass. car;2020;REF D HB41;CO;Rural;RUR/Trunk/80/St+Go;+/-6%;15.45297337;1.234271169;ØGermany;;
avg_demo_all_gradients[4.1];pass. car;2020;REF D HB41;CO;Rural;RUR/Trunk/80/St+Go;-6%;15.48051739;0.210351512;ØGermany;;
avg_demo_all_gradients[4.1];pass. car;2020;REF D HB41;CO;Rural;RUR/Trunk/80/St+Go;-4%;15.48048592;0.261826664;ØGermany;;
avg_demo_all_gradients[4.1];pass. car;2020;REF D HB41;CO;Rural;RUR/Trunk/80/St+Go;-2%;15.47820568;0.350611031;ØGermany;;
avg_demo_all_gradients[4.1];pass. car;2020;REF D HB41;CO;Rural;RUR/Trunk/80/St+Go;+2%;15.46677399;0.938081563;ØGermany;;
avg_demo_all_gradients[4.1];pass. car;2020;REF D HB41;CO;Rural;RUR/Trunk/80/St+Go;+4%;15.45718384;1.506501913;ØGermany;;
avg_demo_all_gradients[4.1];pass. car;2020;REF D HB41;CO;Rural;RUR/Trunk/80/St+Go;+6%;15.42543221;2.258190393;ØGermany;;
avg_demo_all_gradients[4.1];pass. car;2020;REF D HB41;CO;Rural;RUR/Trunk/80/St+Go2;0%;6.128380299;0.931938529;ØGermany;;
avg_demo_all_gradients[4.1];pass. car;2020;REF D HB41;CO;Rural;RUR/Trunk/80/St+Go2;+/-2%;6.1273489;0.898894906;ØGermany;;
avg_demo_all_gradients[4.1];pass. car;2020;REF D HB41;CO;Rural;RUR/Trunk/80/St+Go2;+/-4%;6.124416351;1.058894753;ØGermany;;
